               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.020185,           0.0055881,                   0,             0.80526,             0.93376,             0.84519,             0.61722,            0.021269,           0.0039806,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.020113,           0.0053555,                   0,             0.80303,             0.92059,              0.8374,               0.622,            0.021214,           0.0039401,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019455,            0.005341,                   0,             0.82035,             0.90323,             0.86362,             0.64006,            0.020624,            0.003869,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018794,           0.0056579,                   0,             0.85292,             0.91398,             0.89352,             0.65015,            0.020694,           0.0038389,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017697,           0.0052058,                   0,             0.82308,             0.90049,             0.87417,             0.66659,            0.019633,            0.003842,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.018291,           0.0054635,                   0,             0.82285,             0.89902,             0.86124,             0.64212,            0.020324,           0.0038538,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017786,           0.0053345,                   0,             0.83318,             0.91299,             0.88471,             0.65231,             0.02019,           0.0038275,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017351,           0.0051966,                   0,             0.83287,             0.91096,             0.88133,             0.65712,            0.020018,           0.0038149,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017786,           0.0053604,                   0,             0.80796,             0.90323,             0.85574,              0.6419,            0.019849,            0.003838,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016596,           0.0050033,                   0,             0.81275,             0.90323,             0.85157,             0.63007,            0.020194,            0.003856,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01642,           0.0050068,                   0,             0.82303,             0.91398,             0.87075,             0.64621,              0.0194,           0.0038035,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016518,           0.0052447,                   0,             0.82294,             0.91398,             0.86955,              0.6434,            0.019358,           0.0037878,                   0,            0.000496,            0.000496,            0.000496
