epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.23719972372055054,2.7198822498321533,0.001,0.8574561476707458,0.4816987216472626
1,0.8959162831306458,0.3796464204788208,0.001,0.9381853342056274,0.2227194458246231
2,0.9371997117996216,0.21232643723487854,0.001,0.9392818212509155,0.19875259697437286
3,0.948387086391449,0.16815488040447235,0.001,0.9568256735801697,0.17144417762756348
4,0.9548386931419373,0.14496393501758575,0.001,0.9555920958518982,0.18957801163196564
5,0.9622169137001038,0.12059859931468964,0.001,0.9599780440330505,0.17145942151546478
6,0.9652024507522583,0.11317786574363708,0.001,0.9501096606254578,0.2400188446044922
7,0.9648593068122864,0.11025766283273697,0.001,0.9480537176132202,0.24940192699432373
8,0.965991735458374,0.11309726536273956,0.001,0.9496984481811523,0.21899791061878204
9,0.9705216288566589,0.09423606097698212,0.001,0.9590186476707458,0.2133604884147644
10,0.9717570543289185,0.09132456034421921,0.001,0.9583333134651184,0.20320922136306763
11,0.9751201272010803,0.0812133401632309,0.001,0.9480537176132202,0.3065251111984253
12,0.9675703644752502,0.10562355071306229,0.001,0.9501096606254578,0.2697201073169708
13,0.9724776744842529,0.09068834781646729,0.001,0.9440789222717285,0.23964954912662506
14,0.9721688628196716,0.10361994057893753,0.001,0.9598410129547119,0.24572308361530304
15,0.977419376373291,0.06985113769769669,0.001,0.9598410129547119,0.2243828922510147
16,0.9776939153671265,0.07873998582363129,0.001,0.9554550647735596,0.30130448937416077
17,0.9734042286872864,0.09724006801843643,0.001,0.9521655440330505,0.28016337752342224
18,0.970624566078186,0.10311438143253326,0.001,0.961211621761322,0.24582047760486603
19,0.978517472743988,0.07100406289100647,0.001,0.9577850699424744,0.2899526357650757
20,0.9727179408073425,0.10208087414503098,0.001,0.9553179740905762,0.2844105660915375
21,0.9804735779762268,0.06447630375623703,0.001,0.9617598652839661,0.26707369089126587
22,0.9829100966453552,0.054368846118450165,0.001,0.9597039222717285,0.3173180818557739
23,0.965991735458374,0.14136485755443573,0.001,0.9438048005104065,0.3613404333591461
24,0.9685998558998108,0.12197443842887878,0.001,0.9555920958518982,0.2101253867149353
25,0.981846272945404,0.05933072417974472,0.001,0.9634045958518982,0.27180036902427673
26,0.9812971949577332,0.06241286173462868,0.001,0.9553179740905762,0.3252522945404053
27,0.9806451797485352,0.06967111676931381,0.001,0.9479166865348816,0.4000678062438965
28,0.9800617694854736,0.07494551688432693,0.001,0.9543585777282715,0.33135825395584106
29,0.9784145355224609,0.08430872857570648,0.001,0.953673243522644,0.2812199890613556
30,0.9830816984176636,0.05773850530385971,0.001,0.9577850699424744,0.3830290138721466
31,0.9810912609100342,0.07583603262901306,0.001,0.9581962823867798,0.32994508743286133
32,0.9819492101669312,0.07297723740339279,0.001,0.9540844559669495,0.28726720809936523
33,0.9840425252914429,0.055329419672489166,0.001,0.952850878238678,0.34707748889923096
