epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3055250644683838,2.4782204627990723,0.001,0.929139256477356,0.2830098271369934
1,0.9051132202148438,0.3429270386695862,0.001,0.9549068212509155,0.19204454123973846
2,0.9337680339813232,0.22900032997131348,0.001,0.9599780440330505,0.17447835206985474
3,0.9461565017700195,0.18182338774204254,0.001,0.9555920958518982,0.1889350265264511
4,0.9553534388542175,0.14668145775794983,0.001,0.9668311476707458,0.2082768827676773
5,0.9624571204185486,0.12836334109306335,0.001,0.9645010828971863,0.17454542219638824
6,0.9622169137001038,0.12512697279453278,0.001,0.9573739171028137,0.20308110117912292
7,0.9658887982368469,0.11189590394496918,0.001,0.9586074352264404,0.23127558827400208
8,0.9700754880905151,0.099362812936306,0.001,0.968201756477356,0.19860324263572693
9,0.9748455882072449,0.08360545337200165,0.001,0.9599780440330505,0.2221384197473526
10,0.9647906422615051,0.12182551622390747,0.001,0.953125,0.22912532091140747
11,0.9746396541595459,0.08508226275444031,0.001,0.9620339870452881,0.24260427057743073
12,0.9763898253440857,0.07579194754362106,0.001,0.9507949352264404,0.28844743967056274
13,0.9655799865722656,0.1181069165468216,0.001,0.9560033082962036,0.2529551684856415
14,0.9733012914657593,0.08868274837732315,0.001,0.952850878238678,0.2692464590072632
15,0.9750857949256897,0.08694373816251755,0.001,0.9621710777282715,0.32249629497528076
16,0.9820178151130676,0.05702655762434006,0.001,0.9594298005104065,0.33062058687210083
17,0.9799244999885559,0.0686095803976059,0.001,0.9483278393745422,0.39705756306648254
18,0.9678449034690857,0.12823398411273956,0.001,0.9502466917037964,0.3802420198917389
19,0.9675360321998596,0.11682146787643433,0.001,0.9542214870452881,0.32509922981262207
20,0.9753603339195251,0.09556206315755844,0.001,0.9505208134651184,0.28614944219589233
21,0.9835964441299438,0.053784020245075226,0.001,0.9645010828971863,0.292885422706604
22,0.9762868881225586,0.08782143145799637,0.001,0.9558662176132202,0.3283858597278595
23,0.9766643643379211,0.0832153856754303,0.001,0.9529879093170166,0.339730441570282
24,0.9816746711730957,0.05966098979115486,0.001,0.9597039222717285,0.324540376663208
25,0.9820178151130676,0.06616564840078354,0.001,0.9547697305679321,0.35871613025665283
26,0.9704529643058777,0.11935707926750183,0.001,0.944764256477356,0.4490845203399658
27,0.9663692712783813,0.13464544713497162,0.001,0.9550438523292542,0.3112533390522003
28,0.9757378101348877,0.09229452162981033,0.001,0.9595668911933899,0.30676448345184326
29,0.9828071594238281,0.05492174252867699,0.001,0.9613487124443054,0.30383795499801636
30,0.9827384948730469,0.05601344257593155,0.001,0.9487390518188477,0.46085745096206665
31,0.9815717339515686,0.06790591031312943,0.001,0.9558662176132202,0.35658520460128784
32,0.9754976034164429,0.09913211315870285,0.001,0.9624451994895935,0.29214146733283997
