epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6065545678138733,1.5878349542617798,0.001,0.13363486528396606,5.097085952758789
1,0.9132463932037354,0.3000890016555786,0.001,0.0820997804403305,6.782236099243164
2,0.9438572525978088,0.18544329702854156,0.001,0.05701754242181778,12.554093360900879
3,0.9578929543495178,0.13128885626792908,0.001,0.0338541679084301,103.83140563964844
4,0.9688057899475098,0.09999919682741165,0.001,0.03399122878909111,216.60101318359375
5,0.9680851101875305,0.09649524092674255,0.001,0.366913378238678,4.020160675048828
6,0.9716883897781372,0.08721506595611572,0.001,0.1392543911933899,7.806760787963867
7,0.9775909185409546,0.06495504826307297,0.001,0.2435581088066101,7.012166976928711
8,0.9788263440132141,0.06428848952054977,0.001,0.624451756477356,2.744971752166748
9,0.9796842932701111,0.05907146632671356,0.001,0.5840186476707458,2.2854256629943848
10,0.9803706407546997,0.056664951145648956,0.001,0.5674341917037964,3.7576839923858643
11,0.9774536490440369,0.06536629796028137,0.001,0.28700658679008484,6.165462493896484
12,0.977213442325592,0.06870555877685547,0.001,0.4936951696872711,4.843814373016357
13,0.9816060662269592,0.0537472702562809,0.001,0.8541666865348816,0.5719756484031677
14,0.9841797947883606,0.04354260489344597,0.001,0.13075657188892365,8.807798385620117
15,0.983047366142273,0.04684926196932793,0.001,0.5100054740905762,3.5510313510894775
16,0.983699381351471,0.04687994346022606,0.001,0.586211621761322,2.684532403945923
17,0.9832875728607178,0.04814664274454117,0.001,0.5759320259094238,3.097989559173584
18,0.9834248423576355,0.04923737049102783,0.001,0.05893640220165253,10.114431381225586
19,0.9838709831237793,0.04666025564074516,0.001,0.40049341320991516,3.609409809112549
20,0.9827728271484375,0.053115058690309525,0.001,0.5375548005104065,3.815859079360962
21,0.986822247505188,0.036510199308395386,0.001,0.5598958134651184,3.099583148956299
22,0.9858270287513733,0.039870958775281906,0.001,0.39528509974479675,5.511976718902588
23,0.985312283039093,0.042278897017240524,0.001,0.042900219559669495,12.427584648132324
24,0.9885037541389465,0.03270575776696205,0.001,0.027686404064297676,16.700265884399414
25,0.9871997237205505,0.03912852704524994,0.001,0.18928179144859314,8.341729164123535
26,0.985518217086792,0.042328014969825745,0.001,0.5123355388641357,4.59787130355835
27,0.9845573306083679,0.04792216792702675,0.001,0.5211074352264404,5.674551010131836
28,0.9863075017929077,0.042069680988788605,0.001,0.0416666679084301,13.561067581176758
29,0.9885037541389465,0.03484239801764488,0.001,0.640076756477356,2.86051344871521
30,0.9891901016235352,0.03057681955397129,0.001,0.0546875,17.2379093170166
