epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8773087859153748,0.45010846853256226,0.001,0.8965186476707458,0.3432700037956238
1,0.9474278092384338,0.1731102615594864,0.001,0.6785910129547119,1.8737720251083374
2,0.9577575325965881,0.1319047212600708,0.001,0.4398300349712372,3.716075897216797
3,0.9638801217079163,0.10982716083526611,0.001,0.6276041865348816,1.701659083366394
4,0.9694896936416626,0.09061005711555481,0.001,0.4388706088066101,6.354919910430908
5,0.9725338816642761,0.08230546861886978,0.001,0.35731908679008484,7.550265312194824
6,0.9745177030563354,0.07500278949737549,0.001,0.6149945259094238,3.0741071701049805
7,0.9783486127853394,0.06480563431978226,0.001,0.8396381735801697,0.6606795191764832
8,0.9806745052337646,0.054937925189733505,0.001,0.9565515518188477,0.15723364055156708
9,0.9795457720756531,0.059890251606702805,0.001,0.9592927694320679,0.15743407607078552
10,0.9819400906562805,0.05480118468403816,0.001,0.8015350699424744,1.143964409828186
11,0.9822821021080017,0.04871320724487305,0.001,0.9542214870452881,0.1745128184556961
12,0.9853605031967163,0.039320457726716995,0.001,0.5720943212509155,2.5124568939208984
13,0.9845396280288696,0.0448363721370697,0.001,0.9598410129547119,0.18331658840179443
14,0.9830003976821899,0.0478530153632164,0.001,0.41200658679008484,4.854881763458252
15,0.986899733543396,0.038968462496995926,0.001,0.9646381735801697,0.16140230000019073
16,0.9847790598869324,0.040691573172807693,0.001,0.5413925647735596,4.070423126220703
17,0.9879258275032043,0.033017899841070175,0.001,0.28563597798347473,7.9930291175842285
18,0.9884389042854309,0.031088003888726234,0.001,0.9617598652839661,0.1806267499923706
19,0.9868313074111938,0.03651897609233856,0.001,0.9675164222717285,0.14852745831012726
20,0.9897728562355042,0.026318086311221123,0.001,0.968475878238678,0.17673058807849884
21,0.9851552844047546,0.044089995324611664,0.001,0.9638158082962036,0.1385507732629776
22,0.9908332228660583,0.023584267124533653,0.001,0.9623081088066101,0.15410545468330383
23,0.9917225241661072,0.021794956177473068,0.001,0.9646381735801697,0.14348652958869934
24,0.986899733543396,0.03772162273526192,0.001,0.9660087823867798,0.1510441154241562
25,0.9898754954338074,0.026376834139227867,0.001,0.8626644611358643,0.7618041634559631
26,0.989465057849884,0.029675757512450218,0.001,0.9698464870452881,0.16696380078792572
27,0.9916883111000061,0.02179301343858242,0.001,0.8482730388641357,0.9552709460258484
28,0.990422785282135,0.026070652529597282,0.001,0.9708059430122375,0.17543339729309082
29,0.9896702766418457,0.027754077687859535,0.001,0.9588815569877625,0.17730627954006195
30,0.9922356009483337,0.020174046978354454,0.001,0.9621710777282715,0.1777743250131607
31,0.9893966317176819,0.02937980182468891,0.001,0.5322094559669495,3.2411246299743652
32,0.9917225241661072,0.021452046930789948,0.001,0.9639528393745422,0.15896522998809814
33,0.992611825466156,0.018665192648768425,0.001,0.9676535129547119,0.18031898140907288
34,0.9914488792419434,0.024383926764130592,0.001,0.9651864171028137,0.1811930239200592
35,0.991996169090271,0.022090112790465355,0.001,0.9442160129547119,0.2733311653137207
36,0.9928854703903198,0.019297368824481964,0.001,0.9576480388641357,0.20980538427829742
37,0.9925434589385986,0.019424140453338623,0.001,0.5028783082962036,6.747106552124023
38,0.9919277429580688,0.02085145190358162,0.001,0.9640899300575256,0.16658294200897217
39,0.9935011863708496,0.016979604959487915,0.001,0.8458059430122375,0.945147693157196
40,0.9940142035484314,0.014839169569313526,0.001,0.6393914222717285,3.490407943725586
41,0.9915515184402466,0.023095859214663506,0.001,0.961211621761322,0.16734544932842255
42,0.9938774108886719,0.014835954643785954,0.001,0.9610745906829834,0.2300046682357788
43,0.9932959079742432,0.017397338524460793,0.001,0.7055920958518982,3.3712542057037354
44,0.9937747716903687,0.015959663316607475,0.001,0.9599780440330505,0.16448244452476501
45,0.9944247007369995,0.013828190043568611,0.001,0.9657346606254578,0.1892293095588684
46,0.993569552898407,0.017863456159830093,0.001,0.9480537176132202,0.21604765951633453
47,0.9948351383209229,0.011955039575695992,0.001,0.9623081088066101,0.1757924109697342
48,0.9946983456611633,0.012390945106744766,0.001,0.9613487124443054,0.19086283445358276
49,0.9934327602386475,0.018779169768095016,0.001,0.9557291865348816,0.19022108614444733
